,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
31,4,0,15.9212769999999,4,3,0.21428572,3.0605135,8,-0.0089999996,-0.37176001,58.45089,0.0,47.748497,0.0,27.133842,119.25555,0.0,16.557388,47.724434,69.21003,0.0,18.868406,3.1243138,31.872654,77.839996,13.566921,23.167019,54.267685,19
32,4,0,28.670553,0,6,0.25,5.6397595,12,1.622,-1.41425,124.72076,19.809576,129.17226,9.4210396,0.0,170.12265,0.0,54.644863,16.7855299999999,18.439579,8.69906999999999,0.0,54.644863,18.439579,62.630001,35.740047,11.190562,41.422623,30
33,4,0,29.712933,3,3,0.09375,7.751585,12,2.5239999,-4.4615202,132.0421,0.0,82.230736,0.0,27.133842,226.69441,24.259378,13.433075,42.104252,99.143539,30.233366,0.0,29.920227,87.191391,72.879997,13.566921,23.167019,46.383339,53
34,1,0,20.131311,0,0,0.0,3.4711971,5,1.589,-0.56532001,90.968384,8.6190128,56.44981,0.0,0.0,112.38355,0.0,3.1243138,16.7855299999999,18.439579,5.9423227,3.9819686,3.1243138,18.439579,19.030001,0.0,0.0,5.6825762,18
35,3,0,19.065691,3,3,0.23076923,2.6522653,8,0.31600001,-0.63664001,66.216461,0.0,47.748497,0.0,13.566921,138.26666,0.0,8.8119249,34.862103,64.75106,0.0,0.0,3.1243138,45.053448,49.77,16.070677,8.458519,29.637598,18
36,3,0,24.233727,4,6,0.35294119,4.26762009999999,11,0.56800002,-1.0774699,101.50092,8.6190128,56.44981,0.0,27.133842,158.84145,18.01075,14.0707079999999,47.724434,62.264381,0.0,37.736813,3.1243138,47.82555,69.639999,27.133842,21.408051,46.383339,23
37,3,0,40.179382,0,5,0.1923077,5.8779583,12,1.74,-1.96585,150.5387,8.6190128,84.105576,34.546043,0.0,198.53668,16.404997,52.814564,23.187748,36.879158,6.37115,0.0,4.6428747,36.879158,68.440002,32.016521,13.6984179999999,45.774307,35
38,3,0,27.740141,4,6,0.33333334,4.4747272,10,0.49200001,-1.09692,127.4894,0.0,85.243851,0.0,27.133842,176.21092,0.0,17.195023,47.724434,80.703964,0.0,18.868406,6.2486277,66.265129,60.849998,27.133842,21.408051,40.700764,27
39,3,0,24.524519,0,4,0.19047619,4.1161566,10,0.96600002,-1.92407,81.500191,8.6190128,94.151939,0.0,0.0,164.88492,0.0,38.349422,16.7855299999999,18.439579,3.185575,0.0,38.349422,18.439579,49.740002,15.103616,49.581036,20.786192,25
40,4,0,24.297726,0,5,0.22727273,4.5244045,11,1.136,-1.22019,81.500191,29.85594,97.265083,18.842079,0.0,154.40616,0.0,54.644863,16.7855299999999,18.439579,6.37115,0.0,54.644863,18.439579,62.630001,32.001583,25.890108,37.684158,25
41,5,0,25.699278,2,2,0.083333336,4.1498299,10,0.80299997,-2.50419,56.167973,28.219137,47.748497,14.230966,13.566921,163.86607,0.0,90.174141,6.6407428,25.385227,25.220617,0.0,18.30409,5.6876111,99.599998,37.6991,42.70422,70.515518,39
42,3,0,19.336105,3,4,0.2857143,3.6902699,8,0.62099999,-0.69499999,73.2316439999999,0.0,46.403446,0.0,13.566921,127.85857,25.385227,8.8119249,23.862217,64.75106,0.0,37.736813,28.509541,45.053448,60.77,13.566921,8.458519,40.700764,20
43,2,0,14.963277,3,1,0.090909094,2.8593719,6,0.73900002,-0.82121003,54.014965,0.0,47.748497,0.0,13.566921,89.7869489999999,0.0,8.8119249,23.862217,43.824806,0.0,0.0,3.1243138,24.12719,40.540001,13.566921,8.458519,27.133842,16
44,3,0,21.522518,3,5,0.33333334,4.1902699,9,1.063,-0.89677,81.762413,0.0,55.104759,0.0,13.566921,136.38934,25.385227,8.8119249,23.862217,64.75106,0.0,56.605217,28.509541,45.053448,60.77,13.566921,8.458519,40.700764,21
45,3,0,21.252106,3,3,0.21428572,3.1378639,8,0.778,-0.96385002,64.700874,0.0,66.496178,0.0,13.566921,136.75108,0.0,8.8119249,38.844074,46.311485,0.0,0.0,3.1243138,26.613869,49.77,16.070677,8.458519,29.637598,21
46,3,0,22.210106,4,5,0.3125,3.7676203,10,0.59600002,-1.1113,71.247047,0.0,66.496178,0.0,27.133842,145.20959,0.0,16.557388,58.724319,64.75106,0.0,18.868406,3.1243138,52.798912,66.839996,27.133842,25.670774,40.700764,22
47,4,0,31.899347,3,3,0.090909094,8.3289356,11,3.1129999,-4.95547009999999,109.51521,0.0,86.514969,0.0,27.133842,215.13245,24.259378,13.433075,50.068192,62.264381,27.047791,0.0,29.920227,50.312233,72.879997,13.566921,23.167019,46.383339,55
48,2,0,14.963277,3,1,0.090909094,2.6902699,5,0.87300003,-0.69577003,40.822639,0.0,60.940823,0.0,13.566921,76.5946199999999,0.0,8.8119249,23.862217,25.385227,0.0,18.868406,3.1243138,5.6876111,40.540001,13.566921,8.458519,27.133842,16
49,2,0,10.086035,2,0,0.0,1.5,4,0.115,-1.0631,66.983665,0.0,12.254904,0.0,0.0,103.99216,0.0,18.684622,17.214357,0.0,0.0,17.214357,35.47015,17.214357,30.18,11.365152,35.981079,11.365152,9
50,5,0,38.381416,2,10,0.33333334,9.0261517,13,2.148,-3.08617,112.46051,8.6190128,56.6249579999999,0.0,27.133842,231.25644,43.395977,13.004248,58.724319,67.237747,10.781946,113.21043,25.385227,54.856766,95.860001,16.070677,27.65803,62.454014,44
